WD,WS,ETOT,TP,VMD,ETTSea,TPSea,VMDSea,ETTSw,TPSw,VMDSw,MO1,MO2,HS,DMDIR,ANGSPR,INLINE,GRIDPOINT,Datetime
182.4,7.25,0.94,12.86,23.1,0.11,5.142,3.5,0.831,12.86,25.5,0.638,0.537,3.879,23.3,0.852,0.7694,GN018918,1980-01-13 12:00:00
205.1,6.08,0.84,12.775,25.5,0.055,4.193,19.2,0.785,12.775,25.9,0.571,0.479,3.665,25.2,0.8549,0.7741,GN018918,1980-01-14 18:00:00
238.8,5.21,0.741,12.662,28.4,0.027,3.751,41.9,0.714,12.662,28.0,0.504,0.421,3.443,27.4,0.852,0.7709,GN018918,1980-01-12 20:00:00
227.2,5.33,0.656,12.496,31.8,0.03,3.816,41.0,0.626,12.496,31.4,0.449,0.377,3.239,29.8,0.8432,0.7589,GN018918,1980-01-14 02:00:00
216.7,5.5,0.588,12.075,35.6,0.035,4.108,33.8,0.553,12.075,35.7,0.409,0.35,3.068,32.6,0.8306,0.74,GN018918,1980-01-15 08:00:00
205.7,5.55,0.536,11.787,39.5,0.036,4.118,30.6,0.5,11.787,40.1,0.378,0.331,2.93,36.0,0.8171,0.718,GN018918,1980-01-13 10:00:00
194.8,5.6,0.496,11.563,43.2,0.037,4.135,22.8,0.46,11.563,44.7,0.356,0.318,2.818,40.0,0.8057,0.698,GN018918,1980-01-21 00:00:00
171.5,7.89,0.472,16.0,45.5,0.095,6.083,13.3,0.377,16.0,53.5,0.352,0.335,2.749,43.2,0.7929,0.6792,GN018918,1980-01-22 06:00:00
158.7,10.21,0.487,15.8,42.5,0.213,7.975,13.2,0.274,15.8,65.3,0.398,0.417,2.79,42.0,0.7583,0.6434,GN018918,1980-01-23 12:00:00
162.5,11.98,0.568,15.629,32.5,0.384,8.825,10.0,0.184,15.64,81.0,0.516,0.579,3.016,30.8,0.7178,0.6086,GN018918,1980-01-24 18:00:00
167.0,13.43,0.739,7.427,20.4,0.556,6.878,2.9,0.183,15.462,79.2,0.701,0.789,3.438,15.9,0.7213,0.6256,GN018918,1980-01-22 20:00:00
194.8,13.04,0.869,8.346,20.8,0.777,8.318,14.9,0.092,15.213,94.6,0.805,0.871,3.73,20.1,0.7641,0.6709,GN018918,1980-01-24 02:00:00
225.4,12.88,0.948,9.117,33.3,0.868,9.076,31.9,0.081,14.927,72.0,0.848,0.886,3.895,35.7,0.8052,0.713,GN018918,1980-01-25 08:00:00
232.4,13.34,1.087,9.798,46.7,1.018,9.715,45.5,0.069,14.79,69.5,0.929,0.93,4.17,49.2,0.8354,0.7472,GN018918,1980-01-23 10:00:00
230.9,13.33,1.282,10.54,55.1,1.116,10.034,51.9,0.166,10.802,75.4,1.046,1.008,4.529,57.0,0.8533,0.7668,GN018918,1980-01-31 00:00:00
232.3,12.13,1.374,11.039,60.2,0.872,9.316,52.9,0.501,11.473,71.9,1.075,1.001,4.688,62.2,0.8602,0.7751,GN018918,1980-02-01 06:00:00
233.9,10.94,1.341,11.583,64.6,0.599,8.251,55.2,0.742,11.709,71.5,1.015,0.92,4.632,66.9,0.8648,0.7822,GN018918,1980-02-02 12:00:00
238.2,10.12,1.246,11.739,68.7,0.447,7.361,58.8,0.799,11.775,73.6,0.926,0.825,4.465,71.0,0.8691,0.7895,GN018918,1980-02-03 18:00:00
243.3,9.3,1.121,11.747,72.6,0.315,6.7,62.9,0.806,11.754,76.0,0.828,0.734,4.235,75.0,0.872,0.7948,GN018918,1980-02-01 20:00:00
244.9,7.54,0.977,11.68,76.8,0.146,5.47,65.8,0.831,11.68,78.5,0.719,0.634,3.953,79.3,0.8721,0.7966,GN018918,1980-02-03 02:00:00
