Directory, GridPoint, Latitude, Longitude, Depth, SpectralData
N471, GN018441,47.1875,-145,4709.663,  No
N471, GN018442,47.1875,-144.375,4704.225,  No
N471, GN018443,47.1875,-143.75,4642.242,  No
N471, GN018444,47.1875,-143.125,4494.863,  No
N471, GN018445,47.1875,-142.5,4460.938,  No
N471, GN018446,47.1875,-141.875,4414.808,  No
N471, GN018447,47.1875,-141.25,4376.751,  No
N471, GN018448,47.1875,-140.625,4349.964,  No
N471, GN018449,47.1875,-140,4305.178,  No
N471, GN018450,47.1875,-139.375,4229.823,  No
N471, GN018451,47.1875,-138.75,4210.572,  No
N471, GN018452,47.1875,-138.125,4204.275,  No
N471, GN018453,47.1875,-137.5,4178.994,  No
N471, GN018454,47.1875,-136.875,4130.914,  No
N471, GN018455,47.1875,-136.25,4128.679,  No
N471, GN018456,47.1875,-135.625,4087.069,  No
N471, GN018457,47.1875,-135,3840.797,  No
N471, GN018458,47.1875,-134.375,3812.269,  No
N471, GN018459,47.1875,-133.75,3779.836,  No
N471, GN018460,47.1875,-133.125,3559.036,  No
N471, GN018461,47.1875,-132.5,3199.41,  No
N471, GN018462,47.1875,-131.875,3152.156,  No
N471, GN018463,47.1875,-131.25,2824.357,  No
N471, GN018464,47.1875,-130.625,2802.807,  No
N471, GN018465,47.1875,-130,2709.404,  No
N471, GN018466,47.1875,-129.375,2600.458,  No
N471, GN018467,47.1875,-128.75,2606.027,  No
N471, GN018468,47.1875,-128.125,2626.536,  No
N471, GN018469,47.1875,-127.5,2627.479,  No
N471, GN018470,47.1875,-126.875,2568.615,  No
N471, GN018471,47.1875,-126.25,2436.063,  No
N471, GN018472,47.1875,-125.625,1794.632,  No
N471, GN018473,47.1875,-125,799.101,  No
N471, GN018474,47.1875,-124.375,52.6805,  No
N475, GN018531,47.5,-145,4580.387,  No
N475, GN018532,47.5,-144.375,4561.996,  No
N475, GN018533,47.5,-143.75,4461.149,  No
N475, GN018534,47.5,-143.125,4316.614,  No
N475, GN018535,47.5,-142.5,4437.799,  No
N475, GN018536,47.5,-141.875,4396.737,  No
N475, GN018537,47.5,-141.25,4358.572,  No
N475, GN018538,47.5,-140.625,4332.863,  No
N475, GN018539,47.5,-140,4292.303,  No
N475, GN018540,47.5,-139.375,4243.763,  No
N475, GN018541,47.5,-138.75,4196.548,  No
N475, GN018542,47.5,-138.125,4170.108,  No
N475, GN018543,47.5,-137.5,4162.226,  No
N475, GN018544,47.5,-136.875,4060.191,  No
N475, GN018545,47.5,-136.25,4058.668,  No
N475, GN018546,47.5,-135.625,3770.549,  No
N475, GN018547,47.5,-135,3808.021,  No
N475, GN018548,47.5,-134.375,3793.076,  No
N475, GN018549,47.5,-133.75,3729.967,  No
N475, GN018550,47.5,-133.125,3390.792,  No
N475, GN018551,47.5,-132.5,3108.1,  No
N475, GN018552,47.5,-131.875,3042.323,  No
N475, GN018553,47.5,-131.25,2885.561,  No
N475, GN018554,47.5,-130.625,2798.921,  No
N475, GN018555,47.5,-130,2694.68,  No
N475, GN018556,47.5,-129.375,2601.028,  No
N475, GN018557,47.5,-128.75,2602.42,  No
N475, GN018558,47.5,-128.125,2612.718,  No
N475, GN018559,47.5,-127.5,2604.343,  No
N475, GN018560,47.5,-126.875,2486.156,  No
N475, GN018561,47.5,-126.25,2172.488,  No
N475, GN018562,47.5,-125.625,1459.676,  No
N475, GN018563,47.5,-125,660.0612,  No
N478, GN018620,47.8125,-145,4441.67,  No
N478, GN018621,47.8125,-144.375,4431.692,  No
N478, GN018622,47.8125,-143.75,4422.804,  No
N478, GN018623,47.8125,-143.125,4412.438,  No
N478, GN018624,47.8125,-142.5,4392.405,  No
N478, GN018625,47.8125,-141.875,4333.101,  No
N478, GN018626,47.8125,-141.25,4333.842,  No
N478, GN018627,47.8125,-140.625,4313.589,  No
N478, GN018628,47.8125,-140,4276.115,  No
N478, GN018629,47.8125,-139.375,4223.162,  No
N478, GN018630,47.8125,-138.75,4071.95,  No
N478, GN018631,47.8125,-138.125,4099.133,  No
N478, GN018632,47.8125,-137.5,4137.041,  No
N478, GN018633,47.8125,-136.875,4069.386,  No
N478, GN018634,47.8125,-136.25,3931.236,  No
N478, GN018635,47.8125,-135.625,3809.68,  No
