STN_ID,DATE,Q_FLAG,LATITUDE,LONGITUDE,DEPTH,VCAR,VTPK,VWH$,VCMX,VTP$,WDIR,WSPD,WSS$,GSPD,WDIR.1,WSPD.1,WSS$.1,GSPD.1,ATMS,ATMS.1,DRYT,SSTP,Unnamed: 23
C46139,04/29/2012 22:16,1,48.84,126.01,71.0,1.64,9.09,1.64,,9.09,,,,,,,,,,,,,
C46139,04/29/2012 22:46,1,48.84,126.01,71.0,1.68,9.09,1.68,,9.09,,,,,,,,,,,,,
C46139,04/29/2012 23:16,1,48.84,126.01,71.0,1.73,8.33,1.73,,8.33,,,,,,,,,,,,,
C46139,04/29/2012 23:46,1,48.84,126.01,71.0,1.8,8.33,1.8,,8.33,,,,,,,,,,,,,
C46139,04/30/2012 00:46,1,48.84,126.01,71.0,1.77,9.88,1.77,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 01:16,1,48.84,126.01,71.0,1.75,9.88,1.75,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 01:46,1,48.84,126.01,71.0,1.75,9.88,1.75,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 02:16,1,48.84,126.01,71.0,1.75,9.09,1.75,,9.09,,,,,,,,,,,,,
C46139,04/30/2012 02:46,1,48.84,126.01,71.0,1.56,9.88,1.56,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 03:16,1,48.84,126.01,71.0,1.64,9.09,1.64,,9.09,,,,,,,,,,,,,
C46139,04/30/2012 03:46,1,48.84,126.01,71.0,1.58,9.09,1.58,,9.09,,,,,,,,,,,,,
C46139,04/30/2012 04:16,1,48.84,126.01,71.0,1.58,15.38,1.58,,15.38,,,,,,,,,,,,,
C46139,04/30/2012 04:46,1,48.84,126.01,71.0,1.57,9.88,1.57,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 05:16,1,48.84,126.01,71.0,1.63,9.88,1.63,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 05:46,1,48.84,126.01,71.0,1.52,9.09,1.52,,9.09,,,,,,,,,,,,,
C46139,04/30/2012 06:16,1,48.84,126.01,71.0,1.59,9.88,1.59,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 06:46,1,48.84,126.01,71.0,1.59,10.53,1.59,,10.53,,,,,,,,,,,,,
C46139,04/30/2012 07:16,1,48.84,126.01,71.0,1.61,13.33,1.61,,13.33,,,,,,,,,,,,,
C46139,04/30/2012 07:46,1,48.84,126.01,71.0,1.57,12.5,1.57,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 08:16,1,48.84,126.01,71.0,1.68,9.88,1.68,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 08:46,1,48.84,126.01,71.0,1.81,9.88,1.81,,9.88,,,,,,,,,,,,,
C46139,04/30/2012 09:16,1,48.84,126.01,71.0,1.86,12.5,1.86,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 09:46,1,48.84,126.01,71.0,1.78,12.5,1.78,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 10:16,1,48.84,126.01,71.0,1.78,12.5,1.78,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 10:46,1,48.84,126.01,71.0,1.84,13.33,1.84,,13.33,,,,,,,,,,,,,
C46139,04/30/2012 11:16,1,48.84,126.01,71.0,1.72,12.5,1.72,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 11:46,1,48.84,126.01,71.0,1.98,12.5,1.98,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 12:16,1,48.84,126.01,71.0,1.82,13.33,1.82,,13.33,,,,,,,,,,,,,
C46139,04/30/2012 12:46,1,48.84,126.01,71.0,1.92,12.5,1.92,,12.5,,,,,,,,,,,,,
C46139,04/30/2012 13:16,1,48.84,126.01,71.0,1.99,11.76,1.99,,11.76,,,,,,,,,,,,,
C46139,04/30/2012 13:46,1,48.84,126.01,71.0,1.99,11.76,1.99,,11.76,,,,,,,,,,,,,
