date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-12-01,5.18,1.22,30,"1993-12-01 2022-12-01",96.86,2.03,30,"1993-12-01 2022-12-01",7.8,1.24,30,"1993-12-01 2022-12-01",19.29,3.86,30,"1993-12-01 2022-12-01",1.56,1.44,30,"1993-12-01 2022-12-01",79.1,4.18,30,"1993-12-01 2022-12-01",2.12,1.27,30,"1993-12-01 2022-12-01",3.27,1.59,30,"1993-12-01 2022-12-01",428.06,152.69,30,"1993-12-01 2022-12-01",422.17,152.06,30,"1993-12-01 2022-12-01",6.74,11.86,30,"1993-12-01 2022-12-01",0.4,1.38,30,"1993-12-01 2022-12-01",,,,
2023-11-01,7.23,1.23,30,"1993-11-01 2022-11-01",97.27,1.88,30,"1993-11-01 2022-11-01",10.09,1.02,30,"1993-11-01 2022-11-01",19.92,4.66,30,"1993-11-01 2022-11-01",3.37,1.65,30,"1993-11-01 2022-11-01",76.65,4.97,30,"1993-11-01 2022-11-01",3.85,1.53,30,"1993-11-01 2022-11-01",3.25,1.53,30,"1993-11-01 2022-11-01",474.55,171.65,30,"1993-11-01 2022-11-01",472.46,171.85,30,"1993-11-01 2022-11-01",2.09,5.9,30,"1993-11-01 2022-11-01",0.1,0.16,29,"1993-11-01 2022-11-01",,,,
2023-10-01,10.3,0.95,30,"1993-10-01 2022-10-01",97.99,1.38,30,"1993-10-01 2022-10-01",13.69,0.83,30,"1993-10-01 2022-10-01",19.27,3.71,30,"1993-10-01 2022-10-01",6.54,1.14,30,"1993-10-01 2022-10-01",74.51,3.29,30,"1993-10-01 2022-10-01",6.87,1.16,30,"1993-10-01 2022-10-01",2.28,1.35,30,"1993-10-01 2022-10-01",339.39,135.77,30,"1993-10-01 2022-10-01",339.39,135.77,30,"1993-10-01 2022-10-01",0,0,30,"1993-10-01 2022-10-01",0,0,29,"1993-10-01 2022-10-01",,,,
2023-09-01,13.16,0.68,30,"1993-09-01 2022-09-01",98.44,1.17,30,"1993-09-01 2022-09-01",17.68,0.94,30,"1993-09-01 2022-09-01",17.94,3.04,30,"1993-09-01 2022-09-01",9.63,0.78,30,"1993-09-01 2022-09-01",70.92,3.68,30,"1993-09-01 2022-09-01",9.9,0.94,30,"1993-09-01 2022-09-01",1.32,0.91,30,"1993-09-01 2022-09-01",168.4,91.73,29,"1993-09-01 2022-09-01",168.4,91.73,29,"1993-09-01 2022-09-01",0,0,29,"1993-09-01 2022-09-01",0,0,28,"1993-09-01 2022-09-01",,,,
2023-08-01,14.23,0.65,30,"1993-08-01 2022-08-01",98.43,1.26,30,"1993-08-01 2022-08-01",19.07,0.89,30,"1993-08-01 2022-08-01",18.22,2.66,30,"1993-08-01 2022-08-01",11.33,0.72,30,"1993-08-01 2022-08-01",71.45,3.97,30,"1993-08-01 2022-08-01",11.42,0.76,30,"1993-08-01 2022-08-01",1.4,0.76,30,"1993-08-01 2022-08-01",91.84,76.37,30,"1993-08-01 2022-08-01",91.84,76.37,30,"1993-08-01 2022-08-01",0,0,30,"1993-08-01 2022-08-01",0,0,28,"1993-08-01 2022-08-01",,,,
2023-07-01,13.58,0.72,30,"1993-07-01 2022-07-01",97.74,1.31,30,"1993-07-01 2022-07-01",18.86,0.96,30,"1993-07-01 2022-07-01",19.74,2.64,30,"1993-07-01 2022-07-01",10.75,0.74,30,"1993-07-01 2022-07-01",68.77,3.93,30,"1993-07-01 2022-07-01",11.1,0.74,30,"1993-07-01 2022-07-01",1.84,0.92,30,"1993-07-01 2022-07-01",60.97,47.56,30,"1993-07-01 2022-07-01",60.97,47.56,30,"1993-07-01 2022-07-01",0,0,30,"1993-07-01 2022-07-01",0,0,28,"1993-07-01 2022-07-01",,,,
2023-06-01,11.73,0.73,30,"1993-06-01 2022-06-01",96.89,1.39,30,"1993-06-01 2022-06-01",16.72,1.29,30,"1993-06-01 2022-06-01",20.94,3.52,30,"1993-06-01 2022-06-01",8.66,0.71,30,"1993-06-01 2022-06-01",67.95,4.18,30,"1993-06-01 2022-06-01",9.49,0.72,30,"1993-06-01 2022-06-01",2.27,1.05,30,"1993-06-01 2022-06-01",108.76,58.26,29,"1993-06-01 2022-06-01",108.76,58.26,29,"1993-06-01 2022-06-01",0,0,29,"1993-06-01 2022-06-01",0,0,27,"1993-06-01 2022-06-01",,,,
2023-05-01,9.51,1.03,30,"1993-05-01 2022-05-01",96.67,1.68,30,"1993-05-01 2022-05-01",14.58,1.3,30,"1993-05-01 2022-05-01",21.69,3,30,"1993-05-01 2022-05-01",6.14,1.14,30,"1993-05-01 2022-05-01",66.26,4.21,30,"1993-05-01 2022-05-01",6.97,1.24,30,"1993-05-01 2022-05-01",2.3,0.99,30,"1993-05-01 2022-05-01",131.65,65.9,30,"1993-05-01 2022-05-01",131.65,65.9,30,"1993-05-01 2022-05-01",0,0,30,"1993-05-01 2022-05-01",0,0,28,"1993-05-01 2022-05-01",,,,
2023-04-01,7.09,0.93,30,"1993-04-01 2022-04-01",96.61,1.45,30,"1993-04-01 2022-04-01",11.69,0.98,30,"1993-04-01 2022-04-01",22.68,2.98,30,"1993-04-01 2022-04-01",3.28,1.05,30,"1993-04-01 2022-04-01",66.92,3.5,30,"1993-04-01 2022-04-01",4.2,1.12,30,"1993-04-01 2022-04-01",3.03,1.33,30,"1993-04-01 2022-04-01",252.31,110.76,30,"1993-04-01 2022-04-01",252.05,110.97,30,"1993-04-01 2022-04-01",0.27,0.87,30,"1993-04-01 2022-04-01",0.1,0.36,30,"1993-04-01 2022-04-01",,,,
2023-03-01,5.7,1.05,30,"1993-03-01 2022-03-01",96.34,2.09,30,"1993-03-01 2022-03-01",9.61,1.08,30,"1993-03-01 2022-03-01",22.27,3.29,30,"1993-03-01 2022-03-01",1.95,1.22,30,"1993-03-01 2022-03-01",69.76,4.63,30,"1993-03-01 2022-03-01",2.84,1.06,30,"1993-03-01 2022-03-01",3.65,1.79,30,"1993-03-01 2022-03-01",355.44,111.59,30,"1993-03-01 2022-03-01",350.74,113.2,30,"1993-03-01 2022-03-01",4.67,9.28,30,"1993-03-01 2022-03-01",0.1,0.32,30,"1993-03-01 2022-03-01",,,,
